City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Baiyin,CN,2021-09-22 20:17:03,36.5583,104.2081,50.88,68,3,3.24
1,Dikson,RU,2021-09-22 20:17:04,73.5069,80.5464,35.56,99,100,10.04
2,Kisangani,CD,2021-09-22 20:17:04,0.5167,25.2,71.51,90,71,2.26
3,Cape Town,ZA,2021-09-22 20:17:04,-33.9258,18.4232,65.12,82,0,3.44
4,Coquimbo,CL,2021-09-22 20:17:05,-29.9533,-71.3436,60.53,58,0,16.11
5,Georgetown,MY,2021-09-22 20:13:49,5.4112,100.3354,79.9,78,20,0.0
6,Busselton,AU,2021-09-22 20:17:05,-33.65,115.3333,49.05,91,0,9.84
7,Balclutha,NZ,2021-09-22 20:17:05,-46.2339,169.75,42.1,79,4,3.89
8,Conde,BR,2021-09-22 20:17:06,-7.2597,-34.9075,80.06,78,0,8.05
9,Hilo,US,2021-09-22 20:17:06,19.7297,-155.09,82.27,82,90,8.05
10,Adrar,MR,2021-09-22 20:17:06,20.5022,-10.0711,96.51,10,0,9.89
11,Sao Filipe,CV,2021-09-22 20:17:06,14.8961,-24.4956,79.41,80,29,6.51
12,Ushuaia,AR,2021-09-22 20:14:58,-54.8,-68.3,49.66,66,40,21.85
13,Mataura,NZ,2021-09-22 20:17:07,-46.1927,168.8643,42.48,74,5,2.64
14,Haines Junction,CA,2021-09-22 20:17:07,60.7522,-137.5108,35.55,75,97,3.44
15,Olafsvik,IS,2021-09-22 20:17:08,64.8945,-23.7142,41.92,69,7,6.8
16,Hassleholm,SE,2021-09-22 20:16:14,56.1591,13.7664,60.33,91,0,5.93
17,Domoni,KM,2021-09-22 20:17:08,-12.2569,44.5319,75.49,75,0,8.63
18,Wawa,NG,2021-09-22 20:17:08,9.9022,4.4192,72.52,94,96,5.88
19,Port Alfred,ZA,2021-09-22 20:17:09,-33.5906,26.891,61.77,80,3,23.33
20,Tuktoyaktuk,CA,2021-09-22 20:17:09,69.4541,-133.0374,37.4,65,75,19.57
21,Villa De Reyes,MX,2021-09-22 20:17:09,21.8,-100.9333,71.87,44,51,18.54
22,Sao Jose Do Rio Preto,BR,2021-09-22 20:17:10,-20.8197,-49.3794,84.47,23,1,11.5
23,Rio Gallegos,AR,2021-09-22 20:17:10,-51.6226,-69.2181,53.65,58,40,37.98
24,Codrington,AU,2021-09-22 20:17:10,-38.2667,141.9667,48.6,90,1,12.82
25,Yar-Sale,RU,2021-09-22 20:17:11,66.8333,70.8333,38.79,92,94,12.3
26,Komsomolskiy,UZ,2021-09-22 20:17:11,40.4272,71.7189,65.12,48,0,4.61
27,Bredasdorp,ZA,2021-09-22 20:17:11,-34.5322,20.0403,56.52,82,100,0.0
28,Punta Arenas,CL,2021-09-22 20:17:11,-53.15,-70.9167,48.22,71,75,25.32
29,Vao,NC,2021-09-22 20:17:12,-22.6667,167.4833,67.01,73,82,22.88
30,Havelock,US,2021-09-22 20:17:12,34.8791,-76.9013,80.55,92,75,7.0
31,Bluff,NZ,2021-09-22 20:17:12,-46.6,168.3333,42.8,81,11,11.3
32,Pangnirtung,CA,2021-09-22 20:17:13,66.1451,-65.7125,37.4,52,40,6.91
33,Anadyr,RU,2021-09-22 20:17:13,64.75,177.4833,32.5,74,90,8.95
34,Rikitea,PF,2021-09-22 20:17:13,-23.1203,-134.9692,72.99,77,38,20.15
35,Yellowknife,CA,2021-09-22 20:16:39,62.456,-114.3525,50.52,81,75,9.22
36,Bambous Virieux,MU,2021-09-22 20:17:14,-20.3428,57.7575,71.22,78,40,11.5
37,Hermanus,ZA,2021-09-22 20:17:14,-34.4187,19.2345,64.9,68,90,11.1
38,Barrow,US,2021-09-22 20:17:14,71.2906,-156.7887,32.02,69,90,17.27
39,Qasigiannguit,GL,2021-09-22 20:17:14,68.8193,-51.1922,28.65,89,46,4.94
40,East London,ZA,2021-09-22 20:17:15,-33.0153,27.9116,62.69,76,0,19.71
41,Jamestown,US,2021-09-22 20:17:15,42.097,-79.2353,74.84,84,90,11.99
42,New Norfolk,AU,2021-09-22 20:17:15,-42.7826,147.0587,57.92,59,94,5.01
43,Khatanga,RU,2021-09-22 20:17:16,71.9667,102.5,33.49,98,100,10.07
44,Bathsheba,BB,2021-09-22 20:17:16,13.2167,-59.5167,88.41,66,40,11.5
45,Pavelets,RU,2021-09-22 20:17:16,53.7883,39.246,48.11,93,100,1.45
46,Atuona,PF,2021-09-22 20:17:17,-9.8,-139.0333,77.76,76,28,21.61
47,Kodiak,US,2021-09-22 20:17:17,57.79,-152.4072,45.43,61,100,10.13
48,Petrovsk,RU,2021-09-22 20:17:17,52.3064,45.3917,54.97,94,97,9.04
49,Chuy,UY,2021-09-22 20:17:18,-33.6971,-53.4616,58.01,74,99,10.07
50,Lompoc,US,2021-09-22 20:17:18,34.6391,-120.4579,90.01,71,1,8.01
51,Victoria,HK,2021-09-22 20:17:18,22.2855,114.1577,85.98,81,28,1.99
52,Ixtapa,MX,2021-09-22 20:17:18,20.7,-105.2,88.23,74,90,6.91
53,Mackay,AU,2021-09-22 20:17:19,-21.15,149.2,57.04,69,100,9.24
54,Karachi,PK,2021-09-22 20:17:19,24.9056,67.0822,84.02,74,75,5.75
55,Bud,US,2021-09-22 20:17:19,39.447,-86.1758,55.81,97,100,17.9
56,Albany,US,2021-09-22 20:15:54,42.6001,-73.9662,80.85,71,85,10.31
57,Geraldton,AU,2021-09-22 20:17:20,-28.7667,114.6,48.61,66,0,8.05
58,Kailua,US,2021-09-22 20:17:20,21.4022,-157.7394,84.18,64,20,13.8
59,Hobart,AU,2021-09-22 20:13:07,-42.8794,147.3294,58.26,57,75,7.0
60,Puerto Ayora,EC,2021-09-22 20:17:20,-0.7393,-90.3518,80.56,83,73,11.3
61,Kolokani,ML,2021-09-22 20:17:21,13.5728,-8.0339,79.07,67,81,9.82
62,Lagoa,PT,2021-09-22 20:17:21,39.05,-27.9833,70.56,77,0,14.34
63,Faanui,PF,2021-09-22 20:17:21,-16.4833,-151.75,77.85,69,0,6.51
64,Saskylakh,RU,2021-09-22 20:17:22,71.9167,114.0833,36.18,94,100,4.23
65,Severo-Kurilsk,RU,2021-09-22 20:17:22,50.6789,156.125,49.3,83,100,6.44
66,Upernavik,GL,2021-09-22 20:17:22,72.7868,-56.1549,22.86,57,92,4.41
67,Hervey Bay,AU,2021-09-22 20:17:23,-25.2986,152.8535,57.04,81,1,10.29
68,Qaanaaq,GL,2021-09-22 20:15:17,77.484,-69.3632,13.46,63,11,6.89
69,Baykit,RU,2021-09-22 20:17:23,61.67,96.37,28.15,98,96,2.82
